,1,2,3,4,5,6,7,8,9
Start,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00,2017-01-01 04:00:00+00:00
End,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00,2022-01-10 16:00:00+00:00
Duration,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00
Exposure Time [%],98.80952380952381,98.87412329272794,98.69878183831672,98.8187523071244,98.92949427833149,98.99409376153562,98.88335179032853,98.80952380952381,98.93872277593208
Equity Final [$],2169182952.228659,1757310071.023079,1710404535.3411593,1390120733.02776,1265493337.542359,1019823178.4375793,959717605.6518795,936200129.6591604,928580574.2880603
Equity Peak [$],3727045927.3709598,2341002734.2406993,2294038054.95566,2519547293.6089005,1871379711.7183194,2060935984.5376396,1623203325.5653195,1181415098.3821998,1421050308.19834
Return [%],2169082.9522286593,1757210.0710230789,1710304.5353411594,1390020.7330277602,1265393.337542359,1019723.1784375792,959617.6056518796,936100.1296591603,928480.5742880602
Buy & Hold Return [%],35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897
Return (Ann.) [%],638.2623151953176,607.7845495123042,603.9609817033146,575.3354798338137,562.7535832715704,534.723415846824,527.0503989215588,523.9433082727741,522.9232373894774
Volatility (Ann.) [%],939.6186639262978,876.2482948326,874.2378893488651,856.3652071212132,860.6864407228114,799.9342931760034,777.0025315020359,767.1464171217441,762.3399478772915
Sharpe Ratio,0.6792780302258682,0.6936213777493473,0.6908428347267658,0.671834253715049,0.6538427430075062,0.6684591727200435,0.6783123317535521,0.6829769344925789,0.6859449499472494
Sortino Ratio,10.810913412535886,10.493366206709318,10.423616668695692,9.755189400834526,9.417407756083072,9.090646317557917,9.101315106754818,8.991232872152183,9.202438273687388
Calmar Ratio,11.399841655902213,10.787160065409925,10.787191485168526,10.275920273546541,8.625136096385928,9.309785155509154,8.802122319576117,6.637002025965816,7.777651651517861
Max. Drawdown [%],-55.98870005925568,-56.343332798149945,-55.98871425743297,-55.98870607384028,-65.24576273148585,-57.43670846479162,-59.8776499332879,-78.9427675662838,-67.23407794786303
Avg. Drawdown [%],-7.0953424496298725,-7.033731912302405,-7.257079230292758,-6.965886523081835,-6.786112568621531,-7.642173762209079,-7.234127799549288,-7.219488729944537,-7.419454092739505
Max. Drawdown Duration,155 days 16:00:00,228 days 20:00:00,228 days 16:00:00,226 days 20:00:00,231 days 08:00:00,162 days 04:00:00,226 days 04:00:00,204 days 08:00:00,243 days 12:00:00
Avg. Drawdown Duration,7 days 18:00:00,8 days 03:00:00,8 days 03:00:00,8 days 06:00:00,8 days 05:00:00,7 days 21:00:00,8 days 15:00:00,8 days 15:00:00,8 days 13:00:00
# Trades,284,278,262,275,276,340,316,212,345
Win Rate [%],23.943661971830984,22.66187050359712,25.190839694656486,23.272727272727273,22.82608695652174,20.588235294117645,20.253164556962027,22.169811320754718,24.637681159420293
Best Trade [%],1988.214874598629,2001.4708172307867,1928.9117789362815,1943.0821831898654,1771.7684844025218,2305.0245896370875,2073.8952308847006,2043.8489480665996,2306.376673964846
Worst Trade [%],-39.34124332151807,-8.94099453451338,-13.516852981924032,-11.39662631252355,-9.33560998481795,-10.388856542045255,-8.96333700255405,-23.389926375370585,-12.24414441893692
Avg. Trade [%],3.5783407689506497,3.578475501097067,3.7904067221178117,3.5386485176997606,3.481727422969305,2.7519427687132447,2.9441968077881464,4.407805835449996,5.350249381208738
Max. Trade Duration,140 days 00:00:00,141 days 12:00:00,139 days 12:00:00,139 days 20:00:00,161 days 16:00:00,141 days 00:00:00,156 days 08:00:00,146 days 04:00:00,141 days 04:00:00
Avg. Trade Duration,6 days 08:00:00,6 days 11:00:00,6 days 20:00:00,6 days 13:00:00,6 days 12:00:00,5 days 07:00:00,5 days 17:00:00,8 days 11:00:00,6 days 19:00:00
Profit Factor,8.195320854061615,8.173142987851481,8.135645055835091,7.842253718045786,7.5272072200986395,6.621860822671638,7.05913622601271,7.565835182245422,8.973320341383205
Expectancy [%],10.751331017043245,10.818699495686634,11.353981432622342,10.712209251775157,9.966075434936906,9.691101543316838,9.904632924229057,14.795629849092448,12.471496946209667
SQN,1.2267684751376569,1.6184312748375198,1.377508846673109,1.1415033034287878,1.3279898566220059,1.0450931246659254,1.0193538755872573,1.6499987327354426,1.3540715505588976
