power,power2,power3,ema1len,ema2len,sma1len,sma2len,trimlong,trimshort,Equity Final [$]
3.054241725220483,0.7055277716594611,0.023722474467483896,85,141,212,67,0.06869927038935336,0.05403809798923415,456277138.6734804
4.196717012829618,0.2843580424658444,0.06217205723888021,70,162,63,104,0.15232637340139166,0.0801412635216804,460631328.54857993
3.4881421344621293,0.3414755222151634,0.05589716287996075,82,151,137,107,0.05801691589974486,0.41626277992663435,522175923.2011403
3.8230295654436803,0.8874662754723593,0.014175769987570688,178,100,68,70,0.10238147085626392,0.11497970642574534,562746585.2672404
4.4650354734116435,0.8431366173063221,0.020624528035272142,120,184,210,77,0.07302217008520467,0.2677835625491516,579255057.3572605
2.26090570290417,0.14030130141203423,0.01019674088857814,119,118,72,69,0.09932294161084099,0.07996902391605543,586995972.5294201
3.8035944471901275,0.8707025537792683,0.0545646860983496,91,167,89,105,0.08852498950695346,0.1018045296561553,629287005.7578607
4.489590108648471,0.9560825901173641,0.03336875716108975,79,157,102,65,0.48485391068640943,0.44840620220063243,658655438.0668998
3.148104866071516,0.3794117045637567,0.03231461916554139,53,132,124,94,0.0551811349771906,0.27675468454321095,672310260.5351996
4.4160042516150435,0.9359536809965937,0.0633241778051442,65,145,103,98,0.058568506997581996,0.3868599194031576,1138260048.7687793
