,10,9,8,7,6,5,4,3,2,1
Start,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00
End,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00
Duration,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00
Exposure Time [%],94.76511289147851,95.11107064821559,95.47523670793882,96.51310997815004,95.64821558630736,95.67552804078659,79.26984705025491,95.11107064821559,96.80444282592863,96.99563000728332
Equity Final [$],15911762.115619995,18191952.91247999,18060524.129780002,26819632.328460015,24139467.19563999,24029725.888619997,8181717.081519997,35801319.717140004,35121660.41519999,38311506.315759994
Equity Peak [$],17403489.349219996,18397682.55247999,19550359.41918,27769684.191340007,31519052.38011999,31377202.409739997,9608407.476519998,48231271.78154001,36999260.18135999,38923702.50234
Return [%],15811.762115619997,18091.95291247999,17960.524129780002,26719.63232846002,24039.46719563999,23929.725888619996,8081.717081519997,35701.31971714001,35021.660415199985,38211.506315759994
Buy & Hold Return [%],4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878
Return (Ann.) [%],174.12204465603324,181.52228635138164,181.11655260531617,204.1191366351062,197.81636437788848,197.54656554626234,140.15080539015378,222.10410972634565,220.87844117988413,226.47522349845985
Volatility (Ann.) [%],219.92902370434382,234.44639832509347,224.33327517596754,259.5999406049016,229.1008436193831,227.51796558256444,128.67446123456003,276.54401326346607,252.0216318895889,244.9627406428008
Sharpe Ratio,0.7917192634388717,0.7742592236357371,0.8073548271572638,0.786283448907893,0.8634466868508388,0.8682679850817068,1.089188981601202,0.8031419921383183,0.8764265175326353,0.9245292688356266
Sortino Ratio,3.8376401945067617,3.888983603552544,3.9944875989479045,4.333080106370439,4.434408917506449,4.456813391292309,4.553181766573549,4.590790083529725,4.973013131497943,5.345507427561579
Calmar Ratio,3.0018683293944957,2.3757384670102697,3.447682528998304,4.343490423011593,2.8404775597875247,3.0384869236255434,3.8599379648797356,3.179249620847197,4.260623912855767,4.7053474558552955
Max. Drawdown [%],-58.00455767863585,-76.40667896404312,-52.53283940210647,-46.99426423359731,-69.64193879872991,-65.01478219644548,-36.30908233897496,-69.86054453539889,-51.84180666906975,-48.13145588571487
Avg. Drawdown [%],-5.473021995596218,-4.6959768407903955,-5.713695634965846,-5.525778629258311,-4.8491911566926,-4.998446415956076,-3.687935956979111,-4.692808547402608,-4.74778096154474,-5.186673757777309
Max. Drawdown Duration,510 days 04:00:00,872 days 08:00:00,505 days 16:00:00,416 days 12:00:00,548 days 20:00:00,516 days 20:00:00,175 days 12:00:00,471 days 00:00:00,497 days 20:00:00,290 days 04:00:00
Avg. Drawdown Duration,10 days 03:00:00,8 days 21:00:00,10 days 03:00:00,9 days 21:00:00,8 days 08:00:00,9 days 05:00:00,7 days 13:00:00,7 days 21:00:00,8 days 02:00:00,8 days 09:00:00
# Trades,229,106,67,312,57,28,354,48,120,183
Win Rate [%],60.26200873362445,17.92452830188679,26.865671641791046,20.833333333333336,33.33333333333333,57.14285714285714,83.61581920903954,33.33333333333333,33.33333333333333,25.683060109289617
Best Trade [%],397.3073429759476,807.8858510513435,423.4574743054364,273.4662352086377,1493.859732527341,1493.859732527341,158.68098928819845,862.8338580395068,391.2116341899736,389.49159219390646
Worst Trade [%],-11.12847229813596,-18.578863500292243,-13.672591974178182,-15.430995484752586,-22.779294431858176,-23.887631752299487,-22.99152275158576,-6.289926296446524,-13.64499300681732,-27.079541600324553
Avg. Trade [%],17.903251482812664,5.041466751223833,8.085394473229336,1.814620949514545,26.557034834190894,115.41424623803556,17.128501906002548,13.054032755694944,9.100184192283978,10.182059729731051
Max. Trade Duration,208 days 00:00:00,305 days 08:00:00,216 days 16:00:00,131 days 20:00:00,340 days 16:00:00,405 days 16:00:00,211 days 16:00:00,417 days 04:00:00,202 days 12:00:00,191 days 20:00:00
Avg. Trade Duration,27 days 05:00:00,16 days 12:00:00,26 days 04:00:00,5 days 17:00:00,44 days 01:00:00,116 days 15:00:00,19 days 04:00:00,36 days 09:00:00,18 days 00:00:00,13 days 14:00:00
Profit Factor,22.091266743456448,7.9039164556229515,7.504963740009752,3.0519141089385067,44.140434615107786,113.5329135828195,41.732858032435104,24.555631065051223,10.188892768942807,13.00522029761646
Expectancy [%],21.187185066310434,13.896770442594466,16.660704118184853,3.2631775725383276,104.04731390743571,360.324254464527,20.02932738041914,33.475801341607855,13.278398250154982,20.18427058728463
SQN,1.6475940858303355,2.177496125502299,1.7001048498912887,1.6461252410813556,1.588859832104256,1.8635866953622875,3.353948972458905,1.744431006079196,1.8222871742828985,1.9175481695436827
