,1,2,3,4,5,6,7,8,9
Start,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00
End,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00
Duration,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00
Exposure Time [%],95.66642388929351,91.87909686817189,96.37654770575382,95.56627822286963,95.53896576839038,95.62090313182811,97.8150036416606,96.54952658412236,96.31281864530226
Equity Final [$],61651072.16717999,54043561.937979996,49293163.147360004,49087373.439299956,49015234.594259985,48163926.21694001,46300770.73814,46240138.996659994,45346658.48747995
Equity Peak [$],65070968.640179984,68825404.53349999,52847653.17016,50657458.568319954,49722583.914259985,52153578.83616,49641025.14334,49084968.67813998,52625889.122119956
Return [%],61551.072167179984,53943.56193798,49193.16314736,48987.373439299954,48915.23459425998,48063.92621694001,46200.770738139996,46140.138996659996,45246.658487479945
Buy & Hold Return [%],4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878,4112.857290375878
Return (Ann.) [%],258.8783995949892,249.5991157358898,243.25938510755708,242.9738604478688,242.87354380220094,241.68068487167508,239.00989209953894,238.92154162129495,237.60870869993727
Volatility (Ann.) [%],287.31608429048447,269.0757619588772,275.56172701187893,278.14891490876187,278.17820728773137,274.30403696816074,273.1030421278601,279.96998964464746,279.00115711651483
Sharpe Ratio,0.9010229978397452,0.9276164969999638,0.8827763846068167,0.8735387679925656,0.8730861636152061,0.8810686402684174,0.8751637852047083,0.8533826854962085,0.8516405851345932
Sortino Ratio,5.788793690292072,5.833831699226223,5.4237054429208715,5.368466639483555,5.377109519523319,5.396431821438191,5.307451361436742,5.179236645135343,5.159458154955709
Calmar Ratio,5.521985925771188,6.4819999557835315,5.77057309486826,5.169604644450889,5.342337474935847,5.3577854428384635,4.8344488206286185,4.982983275708901,4.837515049915437
Max. Drawdown [%],-46.88139431627306,-38.506497599276635,-42.15515185552131,-47.00047240724291,-45.462036971956266,-45.1083171303024,-49.438912473265304,-47.94749016838812,-49.117926507348194
Avg. Drawdown [%],-5.029769988643717,-4.889002286562724,-5.061268964240828,-5.102000306233679,-5.245956534149286,-4.9262526044135395,-4.816882493495062,-5.243323935696893,-5.493845663770967
Max. Drawdown Duration,282 days 08:00:00,224 days 00:00:00,281 days 16:00:00,246 days 00:00:00,260 days 04:00:00,251 days 08:00:00,259 days 16:00:00,234 days 12:00:00,227 days 08:00:00
Avg. Drawdown Duration,7 days 17:00:00,7 days 13:00:00,8 days 01:00:00,8 days 00:00:00,7 days 18:00:00,8 days 02:00:00,7 days 21:00:00,8 days 04:00:00,8 days 05:00:00
# Trades,149,334,152,217,197,153,176,204,208
Win Rate [%],25.503355704697988,69.46107784431138,23.026315789473685,23.963133640552993,21.31979695431472,22.22222222222222,22.15909090909091,23.52941176470588,23.557692307692307
Best Trade [%],415.3836725351392,407.1014109941438,415.3836725351392,415.3836725351392,418.72366960347193,409.53817357731054,258.4400211589569,415.3836725351392,414.1790849310259
Worst Trade [%],-12.037762728050083,-19.081040196228916,-15.235201534996555,-11.89045893905888,-8.457359142948972,-12.208556307463159,-13.280418371024306,-17.110626930903962,-15.29272101887268
Avg. Trade [%],4.418717058063626,13.515090125256467,4.183013619858733,2.9048500589700987,3.199366207160659,4.132268448560894,3.556774509265792,3.063970291559559,2.988503668018261
Max. Trade Duration,180 days 20:00:00,192 days 00:00:00,180 days 20:00:00,180 days 20:00:00,181 days 12:00:00,191 days 12:00:00,158 days 20:00:00,180 days 20:00:00,181 days 08:00:00
Avg. Trade Duration,11 days 19:00:00,17 days 15:00:00,11 days 16:00:00,8 days 03:00:00,8 days 22:00:00,11 days 12:00:00,10 days 05:00:00,8 days 17:00:00,8 days 12:00:00
Profit Factor,5.827193924841754,26.2565435926725,5.3482193996732645,4.472874339316222,5.000155904977634,5.450950637898023,4.4204279712454815,4.573326551407465,4.758353389680566
Expectancy [%],8.064845886085612,15.658577763708658,7.827099396425952,5.503084116531432,5.935109429036562,7.59508192008766,5.540386916771299,5.833020762274016,5.59448061165945
SQN,1.3555510213743855,1.5726293084558984,1.574466958814802,1.394349548958133,1.8460669384902901,1.6165390443609728,2.0481065827826095,1.3185503231178364,1.0754547186197156
